2013-Nov-25;15:50:43.354260;Start distance log
2013-Nov-25;15:50:43.354260;Track Description:;Track;trackID;_;__;___;Expected;expectDistance;expectAngle;Val;distance;____;velocity;acceleration;ttc;decelerationToStop;probability;ThreatLevel;Ch.0;Ch.1;Ch.2;Ch.3;Ch.4;Ch.5;Ch.6;
2013-Nov-25;15:50:43.354260;Distance Description:;Dist;_;__;Channel;DetectionID;Expected;expectDistance;expectAngle;Val;distance;intensity;velocity;acceletation;ttc;decelerationToStop;probability;ThreatLevel
2013-Nov-25;15:50:43.893291; ;Track;1046; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.903291; ;Track;1047; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:43.903291; ;Track;1048; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.913292; ;Track;1049; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:43.913292; ;Track;1050; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.923292; ;Track;1051; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:43.923292; ;Track;1052; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.933293; ;Track;1053; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:43.933293; ;Track;1054; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.943294; ;Track;1055; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:43.943294; ;Track;1056; ; ; ;Expected;0.00;0.0;Val;6.40; ;19.3;0.0;0.33;-58.2;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.953294; ;Track;1057; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:43.953294; ;Track;1058; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.963295; ;Track;1059; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:43.963295; ;Track;1060; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.973295; ;Track;1061; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:43.973295; ;Track;1062; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:43.983296; ;Track;1063; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:43.983296; ;Track;1064; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
